"library","root_x","root_y","window","win_x","win_y","start","gather_basics","root_window","recursion","get_names","parse_names","exit"
"xcb",1730,1003,6291493,1728,565,1518313072.414938,1518313072.417595,1518313072.417598,1518313072.417849,1518313072.418118,1518313072.418123,1518313072.418184
"xlib",2905,1133,20971541,983,134,1518313072.41998,1518313072.420463,1518313072.420467,1518313072.420573,1518313072.420666,1518313072.420669,1518313072.420724
"xcb",22,946,11821904,20,508,1518313072.422882,1518313072.425372,1518313072.425376,1518313072.425677,1518313072.426695,1518313072.426698,1518313072.426744
"xlib",750,1352,23068679,748,914,1518313072.428303,1518313072.428537,1518313072.428618,1518313072.429654,1518313072.429844,1518313072.429849,1518313072.429967
"xcb",616,1136,11821904,614,698,1518313072.432203,1518313072.433717,1518313072.43372,1518313072.433906,1518313072.434066,1518313072.434069,1518313072.43411
"xlib",154,1427,10865121,152,989,1518313072.435608,1518313072.435829,1518313072.435838,1518313072.435961,1518313072.436052,1518313072.436056,1518313072.436461
"xcb",1914,917,60817431,1912,479,1518313072.439485,1518313072.442657,1518313072.442661,1518313072.443016,1518313072.443289,1518313072.443294,1518313072.443357
"xlib",2980,1912,75497479,1058,913,1518313072.45296,1518313072.453472,1518313072.453477,1518313072.453575,1518313072.453646,1518313072.453649,1518313072.453699
"xcb",2008,505,48234497,86,451,1518313072.455619,1518313072.456926,1518313072.456929,1518313072.457221,1518313072.457416,1518313072.457419,1518313072.457465
"xlib",1041,584,11417801,1039,146,1518313072.459341,1518313072.459514,1518313072.459518,1518313072.459605,1518313072.459674,1518313072.459676,1518313072.459729
"xcb",858,466,11821904,856,28,1518313072.461198,1518313072.462447,1518313072.46245,1518313072.463338,1518313072.463468,1518313072.463471,1518313072.463514
"xlib",636,611,60817409,634,173,1518313072.465046,1518313072.465283,1518313072.465286,1518313072.465376,1518313072.46565,1518313072.465653,1518313072.465706
"xcb",1216,931,10865121,1214,493,1518313072.467321,1518313072.469254,1518313072.469257,1518313072.469503,1518313072.469659,1518313072.469661,1518313072.469706
"xlib",2405,448,25165831,483,394,1518313072.4718,1518313072.472002,1518313072.472006,1518313072.472091,1518313072.472157,1518313072.472159,1518313072.472208
"xcb",893,1041,11268445,891,603,1518313072.473982,1518313072.475233,1518313072.475236,1518313072.475436,1518313072.475561,1518313072.475563,1518313072.475604
"xlib",1883,737,10865121,1881,299,1518313072.477047,1518313072.482602,1518313072.482605,1518313072.482709,1518313072.48278,1518313072.482783,1518313072.482838
"xcb",440,492,11268445,438,54,1518313072.484392,1518313072.485653,1518313072.485656,1518313072.486118,1518313072.486273,1518313072.486275,1518313072.486317
"xlib",276,719,60817431,274,281,1518313072.487833,1518313072.488092,1518313072.488095,1518313072.488185,1518313072.488251,1518313072.488254,1518313072.488304
"xcb",658,1417,60817409,656,979,1518313072.489836,1518313072.492126,1518313072.492128,1518313072.492346,1518313072.492501,1518313072.492504,1518313072.492546
"xlib",789,1342,23068679,787,904,1518313072.494135,1518313072.494345,1518313072.494348,1518313072.494434,1518313072.494498,1518313072.494501,1518313072.494551
"xcb",531,1355,23068679,529,917,1518313072.49666,1518313072.497907,1518313072.497909,1518313072.498048,1518313072.498168,1518313072.498171,1518313072.498211
